ds,spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
1120000,7,5,26,0.74,0.63,1,0,1,1,119,0,0,93,0,3,5,185,5,10,168,64,950,22,0,54,110,3,2,5,4,68.581,3624014.01,126.567,14180644.59,3922.83,8.973,0.035,0,0,46.536,12.456,7560.904,7938.456,179.04,11565.333,158223.667,1087998111,7676960571,990666860,988777377.7,39.333,325032.667,325132,1.44019E+11,1818449.667,1818605.667,1.50622E+11,3590621743,46678512125,18627919229,95240536,112280236,342999201.3,9.667,3,1556.667,18359094275,29866329803,58.009
1120000,3,1,29,0.42,0.58,0,1,1,0,101,0,1,124,1,3,82,39,10,4,760,26,218,24,2,92,148,14,8,5,7,23.989,3785630.098,125.825,23205536.69,3933.947,24.861,0.07,0,0,40.754,3.369,8094.133,6030.667,178.891,17791,166791.333,1246469297,7767043646,1023994150,1019769444,39,351449,351582.667,1.68941E+11,1846215,1846381.333,1.68349E+11,3810247967,51336086649,19508740519,135103719.3,151186530.7,377593905.3,35.333,51.667,866,19055854545,33575765193,66.164
1120000,8,5,118,0.82,0.48,0,1,1,0,53,0,0,61,0,4,23,97,4,4,975,54,1020,43,1,77,368,11,1,7,9,74.864,3856456.925,139.874,19102381.74,3895.656,4.06,0.027,0,0,69.985,5.264,3748.962,11750.398,179.04,11261.333,154155.667,990754764.3,7447924124,957267333.7,960847798.7,38,386780.333,386875.333,1.44003E+11,1807826.667,1807989,1.51007E+11,3368269040,45932513255,18156300532,91652512.67,122112506,356026824.7,300.333,339,3747.333,18101588920,29352728735,57.39
1120000,5,5,54,0.51,0.78,0,1,2,1,112,1,0,80,1,2,117,130,2,8,866,91,970,44,3,44,417,5,3,7,3,50.006,4291035.141,104.489,21360021.31,3903.435,3.857,0.035,0,0,81.959,0.067,1696.656,13389.662,179.04,11455.667,156366.333,1093548236,7919326904,1005989745,1008693699,41.333,570029.333,570129.667,1.54327E+11,1832480.333,1832646,1.58977E+11,3259506145,48562534873,19379050088,105575286,128812166.3,354813173.3,3673,1842.333,14131,19270269532,29961255092,62.845
1120000,2,5,126,0.8,0.52,0,0,1,1,74,1,0,3,1,6,20,66,4,9,799,16,291,17,0,23,450,8,9,4,4,21.19,3606682.953,87.958,17160003.43,3924.391,14.063,0.035,0,0,30.256,4.494,9398.994,4737.42,179.04,9801.333,163265.333,1069499124,7663172770,982428462.3,984959189.7,39,280998.333,281108.333,1.38492E+11,1834119,1834274.333,1.50666E+11,3262182813,46619124588,18586685597,90478764.67,97792841.33,320576600.7,0,0,853.333,18304861685,29462626362,66.156
1120000,4,4,74,0.52,0.37,1,0,1,0,45,1,1,55,0,1,73,58,6,3,353,118,362,29,3,61,352,10,7,7,3,23.283,3526332.009,107.989,19158691.23,3911.562,4.646,0.044,0,0,43.746,7.65,8117.401,7373.362,178.941,15875.667,161711.333,1143952657,8145154723,1042381138,1042627064,37.333,576859.667,576985,1.56299E+11,1850983.667,1851151.667,1.61981E+11,3362117181,49726125357,19647422592,108616793.3,144056852,389622526.7,6192,3444,13380.667,19677996528,30689165286,61.075
1120000,7,3,47,0.57,0.3,1,1,0,0,5,0,0,105,0,4,54,10,4,8,768,47,103,49,1,95,407,11,6,2,7,66.854,4111622.408,124.361,18636223.11,3900.998,7.559,0.035,0,0,82.123,0.235,1737.442,13761.918,179.04,11316,151976.333,989532734.7,7397950191,952960523.3,953248376,40,380686,380784.333,1.41685E+11,1801611.333,1801768.333,1.48861E+11,3370927189,45996192953,18173164566,90343304.33,116843057,341542896.3,214.333,101.333,1837.667,17907441697,29317615382,60.025
1120000,5,2,93,0.7,0.82,1,0,2,0,85,1,1,89,1,2,87,180,6,7,317,126,530,9,0,69,267,2,3,5,5,18.534,3796010.033,105.189,19586739.88,3918.143,12.443,0.035,0,0,80.271,0.052,2062.505,13011.272,178.891,13712,167504.667,1180533313,7890240252,1000624248,998958694.3,37,319143.333,319241.667,1.48479E+11,1843710.667,1843865.667,1.54719E+11,3607548827,48200913283,19013356923,108660454,134788795.7,352148810.3,71,3,1263.333,18499048170,30835150770,62.651
1120000,8,4,119,0.33,0.83,0,0,0,0,40,1,1,117,0,1,41,25,5,8,742,111,133,19,2,58,159,8,9,6,9,14.413,3351045.841,135.957,18452385.83,3924.042,17.955,0.048,0,0,83.391,0.212,1224.771,14257.389,178.841,14374,163680,1214397679,7926749593,978050024.7,976790845.3,39,351894,352001.667,1.59718E+11,1834413.333,1834578.667,1.62637E+11,3792220612,49930053978,19149855027,115286929,125098546.3,345033235.3,127.667,16,1619.667,18874093319,31844741722,60.025
1120000,6,2,83,0.72,0.89,0,0,2,0,90,0,0,23,1,2,50,172,8,6,116,60,278,47,2,70,490,3,2,5,5,59,3849304.403,117.528,14940101.65,3942.509,6.712,0.038,0,0,58.491,6.346,5414.241,9672.615,179.04,11853.667,157968,1042980733,7375027362,971363553,965661708.3,37,291792.667,291891.667,1.48476E+11,1817118.333,1817283.333,1.53868E+11,3378656937,47359920999,18846719461,97389123.33,116974725.7,339282424,0,6,1057.333,18140738550,31022475976,58.041
