datasize,spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
32000,6,2,50,0.84,0.73,0,1,1,1,76,0,0,28,0,3,97,14,5,7,523,75,916,48,2,86,260,15,7,6,7,359.773,9439102.511,284.197,37650907.54,2245.239,19.659,0.216,0,0,8.087,4.057,8504.492,4343.992,121.212,6863,68597,310076897,2360464649,322648414,327101881,32,247065,247129,47707274940,348338,348496,51422965617,943315880,15351189283,6344091274,30240126,53303969,133307128,0,63,715,5952617772,9975392066,17.459
32000,2,1,49,0.63,0.36,1,1,1,1,34,1,0,91,1,4,11,92,9,6,712,43,557,48,1,97,148,12,4,2,1,116.924,8405441.269,198.848,28148523.53,2216.883,6.371,0.091,0,0,8.019,0.83,5151.576,2590.595,121.212,6130,68635,324279597,2394470351,345089209,347097221,32,307703,307770,47716560504,348385,348535,50225902202,936133158,14751222235,6109300166,28490117,50745271,133582730,7,0,825,5986600880,9183498986,22.171
32000,6,2,114,0.9,0.67,0,0,1,0,87,1,0,22,1,3,49,197,6,10,451,62,456,32,1,30,355,13,2,5,7,349.648,8874684.492,335.799,38500597.4,2223.739,16.356,0.155,0,0,7.92,1.22,5209.042,2533.129,121.212,6122,65815,295602636,2465137332,335381324,341412526,32,261391,261444,46820973985,339185,339338,49949184036,951836290,14809497385,6179703874,31349639,37804757,121847871,800,311,899,5996273641,9152903027,18.1
32000,3,5,122,0.8,0.88,1,1,2,1,112,0,0,6,1,2,120,11,2,8,613,114,711,41,2,47,200,12,2,3,6,668.481,13311275.14,257.098,49882581.76,2266.667,23.068,0.239,0,0,4.008,0.852,6021.292,1279.97,121.212,8943,70160,360969725,2450194157,349591831,344509901,33,273294,273386,53846515392,353631,353786,58803688282,1038612239,16879427715,6413456501,38319163,48464157,127339245,491,354,1126,6279904025,10663216786,26.383
32000,2,1,68,0.75,0.7,0,0,0,1,111,0,1,76,0,4,47,192,9,8,829,20,664,5,2,39,117,2,8,4,6,11.345,4944375.86,172.996,19625135.19,2199.311,4.201,0.057,0,0,24.068,0.015,0,12848.485,121.212,8667,83693,438601418,3361087094,408985978,394942726,32,256111,256166,59691276873,388768,388921,64804920606,1493431845,21383376439,7554742318,40941565,46047400,133452134,7,8,507,7302192794,12106885036,30.684
32000,8,4,23,0.53,0.65,0,0,1,0,13,0,1,17,0,3,89,53,9,9,155,86,84,16,2,90,470,3,6,5,6,228.167,6486579.841,221.754,17102421.75,2239.769,8.14,0.17,0,0,11.924,0.845,6465.598,6382.886,121.212,7647,71014,320543849,2685145468,350548985,345310819,32,235852,235920,49380168791,357721,357877,53333732209,973100508,15741225231,6277356295,33319406,48878905,135127437,0,8,584,5942260421,10330310339,16.019
32000,6,3,74,0.83,0.87,0,0,0,1,12,1,0,121,1,4,55,57,9,9,755,124,113,14,1,29,222,9,3,5,4,353.17,9198319.485,396.704,38151009.24,2227.633,19.758,0.174,0,0,7.943,0.489,5751.167,2853.477,121.212,6694,69685,310891547,2659747566,325797809,333868325,34,321359,321427,46443584290,350315,350468,48055615279,936160754,14245470049,6148978305,29077148,51087804,126315558,449,750,950,6018785007,8961590430,19.228
32000,2,3,46,0.5,0.88,0,0,1,1,127,1,0,109,0,6,123,59,7,7,813,49,882,22,1,34,105,4,5,6,2,116.076,8044602.485,173.898,26378291.82,2209.924,4.886,0.095,0,0,8.079,0.451,8536.212,4312.273,121.212,6644,70124,370453863,2597686916,352731676,354624035,32,291241,291294,46024401976,352005,352159,45785984436,917755167,14158999363,6474584007,33360298,38225004,121926077,0,92,686,5680022330,9477197741,21.322
32000,6,1,63,0.8,0.32,0,1,0,0,59,1,0,69,1,5,99,156,4,4,834,54,12,38,2,70,469,3,3,5,4,361.667,9894743.273,265.917,38085824.03,2242.47,21.068,0.136,0,0,8.129,2.735,5710.477,2894.167,121.212,7045,68159,371193599,2465856572,345726625,338867185,32,255086,255149,48614395365,347214,347371,54298261474,964998851,15475858199,6121138785,34208241,49283885,133796065,8,92,864,6144350141,10732983965,18.548
32000,6,3,68,0.79,0.72,1,1,2,0,87,1,0,55,1,3,63,102,7,9,221,47,897,46,3,54,426,2,7,2,4,332.42,9298909.822,292.595,42517749.83,2227.144,12.598,0.136,0,0,8.239,0.314,4792.144,2509.117,121.212,6234,65996,316222727,2573148750,345937613,354292654,32,425398,425464,49883191309,348757,348909,49799886761,994313242,15752350394,6660654999,29873071,58465360,138401816,1056,1308,5606,6305479801,9903988450,17.754
32000,2,5,10,0.83,0.8,1,1,2,0,23,0,1,74,1,1,119,199,8,4,295,95,526,46,1,49,453,2,7,2,6,944.299,18128370.77,310.489,62505889.47,2291.242,24.716,0.239,0,0,2.08,1.72,6644.769,656.492,121.212,10505,74357,388581187,2688838315,386445272,383147421,38,312956,313054,56104041170,371418,371570,53904719582,1127376411,16196468971,6826652574,46062565,71825178,150417120,0,142,976,6569181638,10222127797,38.977
32000,6,2,107,0.52,0.46,0,0,1,0,118,0,0,41,0,6,111,79,6,4,357,36,248,17,3,45,246,15,3,6,3,332.182,9526422.034,243.451,39325352.06,2223.576,10.068,0.204,0,0,8.083,0.947,8578.371,4270.114,121.212,6260,68640,328466563,2620475747,348301836,342459590,32,328936,329008,49776650658,356825,356981,52354129839,1010146379,15876233269,6732166523,30770324,53700734,143738512,2302,1307,4019,6358862168,9526993863,18.006
32000,7,3,106,0.57,0.5,1,1,0,0,99,0,0,91,0,6,61,132,5,6,139,70,842,45,3,50,216,4,5,4,6,406.902,9120340.454,235.03,22723732,2235.614,3.508,0.231,0,0,8.276,0.5,8405.72,4442.765,121.212,6780,67245,315504352,2798553417,355557851,359535868,32,423450,423524,51967094223,353069,353223,53452383466,1074734037,15938680649,6690746816,29963924,50751595,136575792,1592,1318,5384,6562295528,9894507397,16.52
32000,3,5,87,0.47,0.62,1,0,1,1,32,0,1,63,0,6,74,101,7,8,670,80,616,30,3,51,285,14,4,4,6,23.03,5992857.739,202.462,23925665.3,2188.22,2.08,0.087,0,0,24.068,0,0,12848.485,121.212,7437,70586,326140963,2609346775,344604524,356954884,47,376824,376885,48636293083,360148,360303,51752961026,1012936274,16142507092,6542111736,38983629,50780359,142401982,962,747,4266,6350557647,9794019388,26.43
32000,6,2,102,0.37,0.86,1,1,0,0,106,1,1,52,0,2,66,61,6,6,767,68,190,38,2,77,311,11,2,7,5,174.008,6190663.451,222.023,29671714.33,2223.318,11.564,0.178,0,0,11.902,0.375,6495.712,6352.773,121.212,7368,70367,338039224,2448143104,348673963,353580375,32,233827,233904,51251979990,360915,361074,56132210457,986487921,16474529685,6427885503,34667562,44368199,130575199,106,46,898,6192695987,10819574030,17.419
32000,6,4,21,0.78,0.57,1,1,1,0,77,1,0,56,1,2,31,195,4,7,958,6,41,28,1,42,295,9,4,7,9,363.322,8753244.693,265.197,37225317.15,2222.924,28.511,0.212,0,0,8.042,4.928,5139.496,2602.674,121.212,7063,67726,325670257,2343898836,341854138,338941613,32,265858,265923,47592318187,345056,345211,47477416399,939727645,14213606654,6262216797,29780127,38314610,126173069,0,314,1386,5972272946,9073136300,17.183
32000,5,2,87,0.54,0.33,0,0,1,0,37,0,1,72,1,4,103,136,7,9,477,57,437,4,0,81,114,12,5,4,6,171.917,6986278.224,239.811,34753737.51,2225.292,37.311,0.076,0,0,9.875,0.303,4512.587,3229.583,121.212,7732,75868,381252686,2748547035,363110974,365839756,32,245664,245731,51153104609,367259,367407,51917581187,1177223606,15418781387,6326797928,33227082,50265225,136431630,304,59,1069,6371115725,10016841400,18.431
32000,1,4,31,0.64,0.71,1,1,1,0,4,1,1,72,0,3,127,3,9,9,750,35,496,21,2,32,206,5,2,5,9,21.883,5844023.046,123.398,22423266.98,2199.894,1.053,0.057,0,0,12.042,0.042,6415.811,6432.674,121.212,8477,73218,388855937,2750007029,342586542,347019468,32,285043,285100,52374259904,362455,362614,55518097427,1003675540,16785517425,6627748187,41469875,48980702,130856221,684,311,2570,6257710877,10513574666,25.58
32000,5,6,110,0.3,0.67,0,1,2,0,28,1,0,4,0,4,14,108,2,7,526,77,950,29,2,79,445,3,4,2,7,292.875,8054044.515,202.89,32836652.58,2239.197,19.523,0.227,0,0,8,0.697,8561.508,4286.977,121.212,6986,68377,373871903,2506373216,343929302,351177236,32,267607,267676,49022993368,347979,348131,56592274350,983284189,16199452737,6389511556,33229982,46565990,137254459,0,0,790,6134882577,10493974922,16.909
32000,5,2,51,0.59,0.78,1,1,2,0,64,1,0,4,0,4,74,49,9,9,210,100,473,5,0,98,486,1,1,3,5,287.64,7809638.947,210.83,32491033.66,2221.133,22.727,0.14,0,0,8.083,1.58,8543.038,4305.447,121.212,7115,72239,333281675,2527789751,328235773,321792496,32,246609,246674,46663210614,359636,359784,48994926762,938733545,14688614774,6170144848,32807101,56686478,124075131,15,8,1131,6129161607,8944554980,17.683
32000,2,2,109,0.62,0.78,1,1,2,1,109,1,0,41,0,5,96,103,7,5,330,112,996,34,1,97,229,4,5,6,3,118.22,8465626.489,154.121,26428186.25,2211.538,2.492,0.114,0,0,8.034,0.523,8556.288,4292.197,121.212,6536,69184,313914854,2528482314,348920608,347225859,32,277546,277602,46541017210,350924,351078,46570239007,978808744,14855017640,6274210209,31739732,44073306,131141906,31,0,1236,6013845639,8998503588,20.311
32000,6,2,80,0.73,0.57,1,1,1,0,81,1,1,4,1,4,27,59,4,8,433,126,36,15,1,73,137,3,8,7,5,182.178,6392989.932,290.22,37333481,2223.174,22.508,0.212,0,0,8.171,0.595,5025.758,2716.413,121.212,6761,69778,350191182,2542706624,350202040,352124330,32,262717,262787,52229532813,352942,353097,50780589380,997609140,14656401351,6241438582,28818420,46426131,135000825,0,0,1194,6260900835,9152178963,17.079
32000,1,4,89,0.52,0.86,0,1,1,1,45,0,0,36,1,1,44,193,7,9,730,68,476,11,0,38,318,11,3,3,6,1995.106,39964888.67,325.833,103909582.4,2366.462,20.311,0.409,0,0,1.409,4.212,7291.799,450.371,121.212,10805,86621,417965204,2996048076,376358318,380237789,42,254811,254887,60242866113,410333,410483,51212180068,1077062020,16011026830,6946988843,47646994,68022398,165182258,822,169,1358,6412463818,10229050771,53.788
32000,8,2,30,0.79,0.74,1,1,2,1,71,1,1,10,1,3,118,130,2,9,640,45,163,10,3,55,226,1,6,5,7,258.356,7762272.462,260.564,44604055.07,2216.629,12.848,0.258,0,0,7.769,0.383,4938.477,2362.784,121.212,6992,71000,310664061,2689469740,359732486,363510613,32,324415,324473,49499627409,362375,362530,50596612325,1022044921,15617768944,6979643709,28418158,43603855,145307448,1342,1016,4448,6244670692,10225729261,16.122
32000,5,6,115,0.65,0.41,1,1,0,1,24,1,0,93,0,2,110,75,3,9,700,33,580,42,1,82,253,10,8,2,8,292.474,7837471.14,227.761,32639148.5,2225.678,27.102,0.167,0,0,7.989,2.03,8613.303,4235.182,121.212,5999,65476,326810887,2467496578,338636718,337662071,32,317700,317759,47064126602,338725,338875,48529054367,959958731,14606930496,6433457925,29662030,48609008,128716250,163,254,1059,6072950914,9369999063,16.804
32000,3,3,98,0.38,0.89,1,1,1,1,111,1,1,59,0,5,87,54,8,5,711,74,1017,46,3,78,437,5,8,7,6,14.239,5706211.148,204.731,23698415.04,2188.871,1.886,0.076,0,0,24.068,0.004,0,12848.485,121.212,7432,70947,328580610,2706998449,366548665,362779849,42,440865,440937,51494655982,364723,364879,52042730673,1059637776,16342736455,6966995864,26416860,49209771,138406964,2506,2205,6275,6323027516,10220657103,25
32000,6,4,48,0.8,0.45,0,1,0,1,24,1,1,57,0,2,24,91,8,5,438,65,726,29,1,50,140,6,4,8,9,181.292,6357446.974,200.409,33178232.59,2215.474,11.727,0.159,0,0,8.189,0.413,8237.083,4611.402,121.212,6689,67874,348698841,2404687324,357976055,358642936,33,268344,268422,48533154328,347214,347370,48040591388,977515310,14289864225,6227257053,30299373,49973962,128353564,521,446,1501,6076215812,9179274459,16.004
32000,5,4,78,0.56,0.8,1,0,1,0,36,0,0,63,0,5,5,70,7,8,505,107,199,4,1,78,297,9,6,3,3,287.735,7928742.023,337.822,33930414.7,2221.621,11.648,0.204,0,0,8.038,1.239,8548.258,4300.227,121.212,7238,75425,371415907,2798913673,380867295,384809053,33,286393,286461,51212632624,365073,365224,54600963115,1097720028,16483340063,6795712125,32998199,43104688,135739626,100,140,1151,6457944379,10557547098,19.05
32000,5,5,92,0.86,0.69,0,0,2,0,63,0,0,70,1,5,25,197,7,8,875,50,640,47,2,87,440,12,4,2,2,288.076,7942445.977,223.091,35349523.06,2243.284,27.167,0.182,0,0,8,0.636,4874.856,2426.405,121.212,6539,66697,356683932,2454394203,349856500,354540982,32,292528,292592,48441388490,342806,342958,50801502013,1011437597,15165545149,6554272911,36568619,40688309,134733563,58,0,699,6111876784,10034549599,17.445
32000,4,1,119,0.43,0.63,0,1,1,0,69,0,0,123,0,4,75,129,3,6,381,66,157,30,1,88,450,8,6,4,5,224.576,8305971.648,190.121,30792477.67,2219.341,10.47,0.152,0,0,7.992,0.75,8609.689,4238.796,121.212,6646,67579,356650601,2425715140,353964523,355032169,32,310942,311004,47687186167,344517,344669,48556361754,973491051,14708055035,6193912399,29239113,49614860,123121641,870,359,1196,5972112875,8884383542,17.625
32000,6,2,113,0.89,0.53,1,0,0,0,88,0,1,65,0,3,102,43,9,8,572,18,827,28,0,98,249,12,2,1,1,180.189,6834302.852,242.345,32789953.24,2226.712,39.053,0.174,0,0,8.182,0.742,8390.061,4458.424,121.212,6603,67319,349486000,2560627870,343029347,342866989,32,254360,254432,46531069929,344570,344718,47327613337,953899335,14699217426,6224446207,30870140,49519542,118743676,0,0,582,5879719553,9106948563,17.337
32000,4,6,80,0.8,0.77,0,0,0,0,19,1,0,92,1,5,109,4,3,6,659,108,483,3,0,59,210,13,4,2,5,231.481,8439054.742,220.095,31972422.53,2230.417,24.474,0.129,0,0,8.178,0.322,5661.648,2942.996,121.212,7762,77532,365232500,2886399952,374992542,373930058,32,255163,255218,51617670068,369640,369788,53401125313,1176787077,16649377743,6798893567,36643552,47710796,139633736,58,343,1119,6493731095,10241511236,17.948
32000,4,3,74,0.45,0.45,0,0,2,1,124,1,0,126,1,2,94,112,5,6,617,118,527,19,1,85,331,7,9,6,3,909.337,13945960.66,286.564,50700656.38,2258.564,34.474,0.33,0,0,4.39,2.83,5969.178,1332.083,121.212,8895,72089,353084185,2641849905,351754198,347878811,32,361288,361381,50591597100,358657,358813,48732545934,969094960,15269333849,6337699010,36256583,50545257,142198141,187,186,1550,6038656732,9427033644,26.714
32000,4,3,123,0.42,0.38,0,0,1,1,79,1,0,101,0,5,12,90,9,6,552,76,502,34,3,35,300,11,3,1,8,228.057,8187720.549,187.902,33805260.44,2217.386,7.905,0.186,0,0,8,0.564,8500.477,4348.008,121.212,6516,67208,287580146,2616738561,339608595,344691918,32,397503,397586,47935713138,348753,348904,51445753766,1034567781,16049432863,6627860673,28521496,49463910,148035107,1606,685,4615,6507781244,9583306252,17.561
32000,6,3,52,0.86,0.63,1,1,2,0,93,0,1,108,0,2,69,86,8,9,923,61,540,26,2,97,192,8,4,7,7,177.333,6795956.299,279.496,34846675.56,2234.352,14.307,0.148,0,0,9.871,0.697,7476.614,5371.871,121.212,7343,69687,312393177,2506773813,348668477,340984751,32,277207,277295,49748923337,351648,351806,56631253339,931632639,15702297615,6260926242,34996209,52511815,130382093,0,0,810,6047381044,10209916724,18.574
32000,4,3,23,0.43,0.49,1,1,2,1,44,0,0,75,1,4,116,164,3,5,903,46,164,33,0,79,441,11,4,4,4,232.148,8146694.742,199.996,31262784.12,2232.519,23.485,0.159,0,0,8.087,0.258,4859.114,2442.148,121.212,6421,67434,345520531,2507072296,342307332,349373073,32,243396,243470,45759621783,344913,345061,45869078469,963207768,14671679060,6258864878,27775915,40982235,124613354,0,8,626,5848261036,9245603615,17.501
32000,3,1,46,0.35,0.73,0,1,1,1,9,0,1,47,1,4,92,20,2,5,702,91,48,19,1,26,446,7,8,6,7,13.5,5333064.383,188.663,22711317.02,2191.004,8.602,0.102,0,0,24.068,0.008,0,7742.17,121.212,7401,71313,377373722,2899214491,374047342,365311880,34,239269,239328,51589669541,355777,355929,51032789175,1091089856,15772625031,6786674772,32277888,35438035,116018444,0,27,1112,6297777376,10188096782,26.434
32000,4,3,68,0.73,0.45,0,1,2,0,65,1,1,17,1,3,83,121,7,6,859,11,226,26,2,50,471,14,6,2,9,463.72,11075890.83,255.962,48104057.76,2265.356,32.553,0.254,0,0,4.602,2.546,5847.114,1454.148,121.212,9976,72014,400718531,2599253910,357708972,354946697,32,256979,257073,55743166333,360361,360514,55348568767,1111816485,16356079207,6651271555,39279243,59513674,139584832,0,0,586,6563593236,10166439998,27.082
32000,3,4,62,0.32,0.54,1,0,2,1,51,0,1,69,0,4,76,48,6,4,611,22,391,16,1,29,270,9,6,1,3,12.886,4844780.239,142.496,20051387.36,2187.583,6.625,0.083,0,0,24.068,0.008,0,12848.485,121.212,7355,69790,309780254,2695397293,349258019,346106828,32,272615,272668,46619163507,350658,350807,49830276498,912452164,14686763727,6248384833,32747322,44780395,130547444,57,0,1189,5966613216,9608256714,19.789
32000,1,4,20,0.51,0.8,0,1,1,1,99,0,1,73,1,2,65,40,3,5,195,127,752,41,2,90,255,13,9,2,3,26.917,6202003.636,121.848,16984603,2226.212,1.621,0.144,0,0,8.193,0.023,5100.398,2641.773,121.212,10410,71306,380401221,2698434401,344340897,349417641,32,286121,286188,55361802376,359779,359932,55708475697,998647770,15948123274,6575464618,41755491,54665191,144923506,0,0,438,6386189592,10104163863,19.493
32000,4,6,29,0.86,0.81,0,1,2,0,27,0,0,34,0,6,35,35,4,7,353,82,141,34,0,37,226,7,8,7,4,237.515,7840464.204,186.724,29307683.47,2238.057,21.602,0.095,0,0,7.958,1.663,8639.803,4208.682,121.212,6356,66808,360456594,2572973026,349598957,350640214,32,224758,224814,45257694318,342903,343050,45061030997,979281775,14374140679,6381507830,27024709,35356002,111654723,0,8,839,5822543519,9586071682,17.189
32000,7,4,16,0.54,0.81,1,0,1,1,48,1,0,42,1,1,95,46,8,5,470,77,766,30,2,39,219,13,8,5,5,404.633,8260153.038,294.508,42959725.52,2247.83,35.015,0.091,0,0,7.928,0.833,5145.822,2596.348,121.212,6670,67735,331572262,2443295753,325671877,320722329,32,259231,259298,48688611890,349751,349908,52634034570,960734674,15294377161,6290671034,35281265,49389806,137188634,7,0,407,6141810391,9464921074,17.187
32000,5,2,88,0.47,0.51,1,1,2,1,17,0,0,26,1,3,65,153,3,9,270,30,552,41,2,69,288,7,5,2,6,290.776,7696060.928,197.985,34462496.13,2243.106,23.14,0.159,0,0,8.026,0.352,4856.803,2444.458,121.212,6429,67385,354642365,2465767183,345723739,352543292,32,234596,234659,49206804018,344921,345073,49895058391,972993750,15338247486,6635991623,28148348,37866625,113165987,0,0,490,5880913439,10105926406,16.625
32000,7,5,112,0.7,0.87,0,1,1,1,52,1,1,16,1,4,4,105,2,9,907,119,322,8,2,46,312,11,5,4,9,199.617,7041351.311,246.246,41267457.4,2243.697,26.076,0.197,0,0,8.326,0.708,5011.193,2730.977,121.212,8280,72135,346631681,2378088068,338351066,337367477,34,250602,250664,47937900934,357872,358026,50341438417,928878888,14783924197,6125157898,31264833,45072122,124597520,0,0,599,5763597909,9100417797,15.901
32000,2,2,79,0.39,0.55,1,0,1,0,121,1,0,37,0,1,110,127,5,4,365,45,32,41,1,37,422,9,8,4,9,1830.367,25883464,689.242,77692891.81,2326.182,30.602,0.474,0,0,2.049,8.708,11765.197,1083.288,121.212,9537,74023,396971053,2649385509,360390890,366073327,38,266770,266840,56783087456,367257,367410,50318227716,1018538539,15207583157,6506705161,47401396,59270812,149644023,100,109,1215,6408748180,9424295730,43.165
32000,1,6,9,0.37,0.33,1,0,1,0,105,0,0,85,0,1,40,134,7,7,797,98,857,5,3,90,457,10,2,5,4,2032.189,39878579.82,371.004,104569023.4,2354.405,4.83,0.326,0,0,1.341,0.852,12130.977,717.508,121.212,11605,97671,459841796,3367479392,428730651,426272599,91,449480,449603,66701347134,434991,435148,60410329159,1341497170,19078513753,8038522578,41700334,60041784,174674688,5471,3029,16760,6816388157,11760262026,55.205
32000,3,3,80,0.78,0.88,0,1,0,0,10,1,0,118,0,5,6,100,8,8,456,65,136,35,2,43,430,15,1,4,1,176.826,9469080.587,183.807,29127833.81,2230.239,7.409,0.167,0,0,8.083,1.417,8534.204,4314.28,121.212,6737,69182,330859787,2554983864,341938555,345258966,32,326742,326808,50135505747,350849,351003,53721465423,956241636,15918086047,6411330216,33869797,63071288,142485652,15,0,1112,6096854130,10287373649,19.483
